Traffic,Datetime
304,2023-05-06 07:00:00
255,2023-05-13 07:00:00
400,2023-05-20 07:00:00
348,2023-05-27 07:00:00
479,2023-06-03 07:00:00
587,2023-06-10 07:00:00
421,2023-06-17 07:00:00
516,2023-06-24 07:00:00
344,2023-07-01 07:00:00
604,2023-07-08 07:00:00
512,2023-07-15 07:00:00
598,2023-07-22 07:00:00
595,2023-07-29 07:00:00
493,2023-08-05 07:00:00
528,2023-08-12 07:00:00
890,2023-08-19 07:00:00
523,2023-08-26 07:00:00
647,2023-09-02 07:00:00
480,2023-09-09 07:00:00
564,2023-09-16 07:00:00
451,2023-09-23 07:00:00
481,2023-09-30 07:00:00
282,2023-10-07 07:00:00
285,2023-10-14 07:00:00
286,2023-10-21 07:00:00
184,2023-10-28 07:00:00
614,2024-05-04 07:00:00
574,2024-05-11 07:00:00
593,2024-05-18 07:00:00
547,2024-05-25 07:00:00
359,2024-06-01 07:00:00
487,2024-06-08 07:00:00
650,2024-06-15 07:00:00
689,2024-06-22 07:00:00
743,2024-06-29 07:00:00
671,2024-07-06 07:00:00
968,2024-07-13 07:00:00
772,2024-07-20 07:00:00
664,2024-07-27 07:00:00
692,2024-08-03 07:00:00
562,2024-08-10 07:00:00
677,2024-08-17 07:00:00
580,2024-08-24 07:00:00
548,2024-08-31 07:00:00
528,2024-09-07 07:00:00
516,2024-09-14 07:00:00
424,2024-09-21 07:00:00
532,2024-09-28 07:00:00
505,2024-10-05 07:00:00
449,2024-10-12 07:00:00
291,2024-10-19 07:00:00
280,2024-10-26 07:00:00
340,2023-05-06 08:00:00
466,2023-05-13 08:00:00
806,2023-05-20 08:00:00
503,2023-05-27 08:00:00
841,2023-06-03 08:00:00
837,2023-06-10 08:00:00
678,2023-06-17 08:00:00
704,2023-06-24 08:00:00
356,2023-07-01 08:00:00
939,2023-07-08 08:00:00
426,2023-07-15 08:00:00
920,2023-07-22 08:00:00
905,2023-07-29 08:00:00
592,2023-08-05 08:00:00
867,2023-08-12 08:00:00
1214,2023-08-19 08:00:00
813,2023-08-26 08:00:00
766,2023-09-02 08:00:00
750,2023-09-09 08:00:00
859,2023-09-16 08:00:00
821,2023-09-23 08:00:00
664,2023-09-30 08:00:00
485,2023-10-07 08:00:00
332,2023-10-14 08:00:00
354,2023-10-21 08:00:00
266,2023-10-28 08:00:00
1065,2024-05-04 08:00:00
1008,2024-05-11 08:00:00
1017,2024-05-18 08:00:00
968,2024-05-25 08:00:00
534,2024-06-01 08:00:00
896,2024-06-08 08:00:00
1020,2024-06-15 08:00:00
1014,2024-06-22 08:00:00
938,2024-06-29 08:00:00
1036,2024-07-06 08:00:00
1289,2024-07-13 08:00:00
1006,2024-07-20 08:00:00
1075,2024-07-27 08:00:00
943,2024-08-03 08:00:00
957,2024-08-10 08:00:00
960,2024-08-17 08:00:00
895,2024-08-24 08:00:00
1036,2024-08-31 08:00:00
816,2024-09-07 08:00:00
783,2024-09-14 08:00:00
628,2024-09-21 08:00:00
923,2024-09-28 08:00:00
636,2024-10-05 08:00:00
623,2024-10-12 08:00:00
474,2024-10-19 08:00:00
473,2024-10-26 08:00:00
490,2023-05-06 09:00:00
515,2023-05-13 09:00:00
1010,2023-05-20 09:00:00
843,2023-05-27 09:00:00
893,2023-06-03 09:00:00
1205,2023-06-10 09:00:00
865,2023-06-17 09:00:00
816,2023-06-24 09:00:00
631,2023-07-01 09:00:00
1266,2023-07-08 09:00:00
784,2023-07-15 09:00:00
1113,2023-07-22 09:00:00
1081,2023-07-29 09:00:00
464,2023-08-05 09:00:00
975,2023-08-12 09:00:00
1454,2023-08-19 09:00:00
1420,2023-08-26 09:00:00
1293,2023-09-02 09:00:00
1155,2023-09-09 09:00:00
1031,2023-09-16 09:00:00
1063,2023-09-23 09:00:00
866,2023-09-30 09:00:00
860,2023-10-07 09:00:00
461,2023-10-14 09:00:00
728,2023-10-21 09:00:00
397,2023-10-28 09:00:00
1335,2024-05-04 09:00:00
1354,2024-05-11 09:00:00
1206,2024-05-18 09:00:00
1449,2024-05-25 09:00:00
521,2024-06-01 09:00:00
1287,2024-06-08 09:00:00
1343,2024-06-15 09:00:00
1264,2024-06-22 09:00:00
1194,2024-06-29 09:00:00
1583,2024-07-06 09:00:00
1618,2024-07-13 09:00:00
1418,2024-07-20 09:00:00
1417,2024-07-27 09:00:00
1179,2024-08-03 09:00:00
1421,2024-08-10 09:00:00
1245,2024-08-17 09:00:00
1245,2024-08-24 09:00:00
1046,2024-08-31 09:00:00
1216,2024-09-07 09:00:00
1064,2024-09-14 09:00:00
850,2024-09-21 09:00:00
1122,2024-09-28 09:00:00
928,2024-10-05 09:00:00
660,2024-10-12 09:00:00
774,2024-10-19 09:00:00
685,2024-10-26 09:00:00
491,2023-05-06 10:00:00
511,2023-05-13 10:00:00
924,2023-05-20 10:00:00
1293,2023-05-27 10:00:00
823,2023-06-03 10:00:00
1014,2023-06-10 10:00:00
700,2023-06-17 10:00:00
790,2023-06-24 10:00:00
609,2023-07-01 10:00:00
1257,2023-07-08 10:00:00
817,2023-07-15 10:00:00
1244,2023-07-22 10:00:00
931,2023-07-29 10:00:00
325,2023-08-05 10:00:00
826,2023-08-12 10:00:00
1433,2023-08-19 10:00:00
1129,2023-08-26 10:00:00
1427,2023-09-02 10:00:00
1298,2023-09-09 10:00:00
1286,2023-09-16 10:00:00
916,2023-09-23 10:00:00
1016,2023-09-30 10:00:00
1186,2023-10-07 10:00:00
500,2023-10-14 10:00:00
990,2023-10-21 10:00:00
559,2023-10-28 10:00:00
1385,2024-05-04 10:00:00
1284,2024-05-11 10:00:00
1141,2024-05-18 10:00:00
1357,2024-05-25 10:00:00
612,2024-06-01 10:00:00
1291,2024-06-08 10:00:00
1258,2024-06-15 10:00:00
1112,2024-06-22 10:00:00
1457,2024-06-29 10:00:00
1932,2024-07-06 10:00:00
1361,2024-07-13 10:00:00
1363,2024-07-20 10:00:00
1424,2024-07-27 10:00:00
1154,2024-08-03 10:00:00
1271,2024-08-10 10:00:00
1313,2024-08-17 10:00:00
1309,2024-08-24 10:00:00
1099,2024-08-31 10:00:00
1373,2024-09-07 10:00:00
1167,2024-09-14 10:00:00
982,2024-09-21 10:00:00
1108,2024-09-28 10:00:00
1081,2024-10-05 10:00:00
779,2024-10-12 10:00:00
884,2024-10-19 10:00:00
891,2024-10-26 10:00:00
574,2023-05-06 11:00:00
701,2023-05-13 11:00:00
652,2023-05-20 11:00:00
860,2023-05-27 11:00:00
680,2023-06-03 11:00:00
663,2023-06-10 11:00:00
565,2023-06-17 11:00:00
556,2023-06-24 11:00:00
498,2023-07-01 11:00:00
967,2023-07-08 11:00:00
610,2023-07-15 11:00:00
909,2023-07-22 11:00:00
583,2023-07-29 11:00:00
268,2023-08-05 11:00:00
707,2023-08-12 11:00:00
1188,2023-08-19 11:00:00
855,2023-08-26 11:00:00
1130,2023-09-02 11:00:00
1159,2023-09-09 11:00:00
1943,2023-09-16 11:00:00
689,2023-09-23 11:00:00
605,2023-09-30 11:00:00
893,2023-10-07 11:00:00
475,2023-10-14 11:00:00
794,2023-10-21 11:00:00
432,2023-10-28 11:00:00
819,2024-05-04 11:00:00
854,2024-05-11 11:00:00
1035,2024-05-18 11:00:00
1243,2024-05-25 11:00:00
440,2024-06-01 11:00:00
891,2024-06-08 11:00:00
825,2024-06-15 11:00:00
621,2024-06-22 11:00:00
817,2024-06-29 11:00:00
1052,2024-07-06 11:00:00
610,2024-07-13 11:00:00
1070,2024-07-20 11:00:00
1018,2024-07-27 11:00:00
590,2024-08-03 11:00:00
836,2024-08-10 11:00:00
1026,2024-08-17 11:00:00
912,2024-08-24 11:00:00
1093,2024-08-31 11:00:00
1031,2024-09-07 11:00:00
922,2024-09-14 11:00:00
1143,2024-09-21 11:00:00
964,2024-09-28 11:00:00
1117,2024-10-05 11:00:00
726,2024-10-12 11:00:00
814,2024-10-19 11:00:00
646,2024-10-26 11:00:00
